Time,RPE,SFL
0,7,2
10,7,NaN
20,7,NaN
30,8,3
40,8,NaN
50,8,NaN
60,9,3
70,9,NaN
80,10,NaN
90,11,5
100,13,NaN
110,14,NaN
120,14,7
130,15,NaN
140,15,NaN
150,15,7
160,15,NaN
170,15,NaN
180,15,7
