Time,RPE,SFL
0,6,1
10,7,NaN
20,7,NaN
30,7,3
40,8,NaN
50,8,NaN
60,8,4
70,8,NaN
80,9,NaN
90,9,5
100,10,NaN
110,10,NaN
120,10,5
130,11,NaN
140,11,NaN
150,12,6
160,11,NaN
170,12,NaN
180,13,7
