Time,RPE,SFL
0,6,1
10,11,NaN
20,12,NaN
30,12,4
40,12,NaN
50,13,NaN
60,13,5
70,14,NaN
80,14,NaN
90,14,6
100,15,NaN
110,14,NaN
120,14,7
130,15,NaN
140,15,NaN
150,14,6
160,13,NaN
170,14,NaN
180,14,6
