Time,RPE,SFL
0,6,1
10,9,NaN
20,9,NaN
30,9,3
40,10,NaN
50,10,NaN
60,11,4
70,11,NaN
80,12,NaN
90,12,5
100,12,NaN
110,13,NaN
120,13,5
130,13,NaN
140,14,NaN
150,14,6
160,14,NaN
170,14,NaN
180,14,7
