Time,RPE,SFL
0,9,3
10,9,NaN
20,10,NaN
30,11,3
40,11,NaN
50,11,NaN
60,11,3
70,11,NaN
80,11,NaN
90,12,4
100,12,NaN
110,13,NaN
120,14,6
130,14,NaN
140,14,NaN
150,14,6
160,14,NaN
170,14,NaN
180,14,7
