Time,RPE,SFL
0,6,1
10,9,NaN
20,10,NaN
30,11,3
40,11,NaN
50,12,NaN
60,14,6
70,13,NaN
80,13,NaN
90,13,6
100,13,NaN
110,13,NaN
120,13,6
130,13,NaN
140,13,NaN
150,13,6
160,14,NaN
170,14,NaN
180,15,7
