Time,RPE,SFL
0,6,1
10,7,NaN
20,11,NaN
30,12,3
40,13,NaN
50,13,NaN
60,14,5
70,14,NaN
80,15,NaN
90,15,6
100,15,NaN
110,16,NaN
120,17,7
130,19,9
140,NaN,NaN
150,NaN,NaN
160,NaN,NaN
170,NaN,NaN
180,NaN,NaN
