Time,RPE,SFL
0,6,1
10,11,NaN
20,11,NaN
30,12,3
40,13,NaN
50,14,NaN
60,14,5
70,14,NaN
80,14,NaN
90,15,6
100,15,NaN
110,15,NaN
120,15,6
130,15,NaN
140,16,NaN
150,16,7
160,16,NaN
170,16,NaN
180,16,7
