Time,RPE,SFL
0,6,1
10,8,NaN
20,9,NaN
30,10,3
40,10,NaN
50,11,NaN
60,13,6
70,13,NaN
80,13,NaN
90,13,6
100,14,NaN
110,14,NaN
120,15,7
130,15,NaN
140,15,NaN
150,15,8
160,16,NaN
170,16,NaN
180,16,8
