Time,RPE,SFL
0,6,1
10,11,NaN
20,12,NaN
30,13,6
40,13,NaN
50,14,NaN
60,14,7
70,14,NaN
80,14,NaN
90,14,7
100,15,NaN
110,19,9
120,NaN,NaN
130,NaN,NaN
140,NaN,NaN
150,NaN,NaN
160,NaN,NaN
170,NaN,NaN
180,NaN,NaN
