Time,RPE,SFL
0,7,2
10,11,NaN
20,12,NaN
30,12,2
40,12,NaN
50,12,NaN
60,12,3
70,13,NaN
80,13,NaN
90,13,3
100,13,NaN
110,13,NaN
120,14,5
130,14,NaN
140,14,NaN
150,15,7
160,14,NaN
170,15,NaN
180,15,8
