Time,RPE,SFL
0,6,1
10,6,NaN
20,6,NaN
30,6,1
40,7,NaN
50,7,NaN
60,7,2
70,8,NaN
80,8,NaN
90,9,3
100,9,NaN
110,10,NaN
120,10,4
130,11,NaN
140,12,NaN
150,13,6
160,13,NaN
170,14,NaN
180,16,8
